sample_id	run_aggregate	run_annotate	run_denovo	run_fetch	run_score
477	2596.11	1656	170.39	163.5	151
478	960.92	1832	177.44	135.16	72
479	610	1290	175.58	154.84	76
480	775.23	1585	172.04	152.75	75
481	666.66	1623	171.5	159.69	96
482	752.6	1546	173.57	160.19	73
483	1225.55	1343	177.86	142.08	88
484	828.98	1337	171.92	131.8	78
485	1034.09	1277	171.23	138.6	67
486	1026	1850	173.56	158.65	76
487	57	1469	162.73	172.89	74
488	1058.07	1687	174.22	155.8	71
489	664.69	1566	167.87	159.62	66
490	838.56	1580	173.67	173.62	72
491	1274.74	1933	173.86	168.72	72
492	625.79	1630	174.75	135.86	75
493	601.3	1789	179.89	152.44	85
494	1139.63	1225	196.29	143.31	135
495	1185.4	1469	171.24	171.51	179.5
496	470	1722	166.87	148.53	67
497	645.85	1621	177.04	178.38	76
498	2940.2	1578	172.39	172.41	73
499	1344.49	1531	179.12	143.25	79
500	887.65	1558	170.71	164.57	53
501	1622.03	1779	173.91	121.06	67
502	1045.27	1706	172.54	148.98	89
503	899.56	1628	171.59	142	72
504	735.1	1713	171.55	167.22	78
505	863.05	1982	166.61	159.71	81
506	669.46	1690	167.49	141.83	72
507	705.72	1493	169.69	159.59	75
508	2874.51	1956	193.71	155.02	87
509	1508.65	1417	174.43	140.45	79
510	728.79	1516	177.94	147.98	4
511	891.62	1597	170.96	139.1	73
512	2454.79	1565	165.86	164.98	75
513	639.62	1638	173.96	145.85	89
514	1411.86	1505	164.7	154.28	80
515	728.79	1629	168	168.11	74
516	578.15	1605	195.34	153.15	72
517	1046.75	1559	169.55	169.52	132.67
518	894.79	1451	171.66	170.16	62
519	995.26	1368	168.84	150.83	75
520	774.15	1263	171.59	141.05	80
521	677.81	1546	178.88	151.95	68
522	1049.08	1441	175.07	161.93	74
523	1146.04	1354	172.17	179.92	74
524	638.17	1304	175.52	158.08	67
525	2694.71	1741	168.42	161.4	73
526	666.81	1746	175.83	146.88	71
527	1764.84	1739	181.15	147.65	80
528	54	1531	183.12	138.62	80
529	1174.47	1433	172.52	161.95	67
530	2353.92	1635	170.93	147.61	68
531	687.07	1536	170.31	146.2	71
532	955	1467	191.49	153.88	81
533	704	1432	169.48	172.7	75
534	866.94	1556	166.66	141.72	78
535	695.21	1705	169.44	161.99	NaN
536	852.1	1601	170.43	172.31	71
537	1909.17	1596	177.52	152.48	90
538	556.34	1978	170.13	152.22	89
539	1194.55	1923	172.2	164.72	76
540	591.09	1967	179.33	172.48	89
541	1385.49	1996	166.9	147.7	79
542	667.57	1840	174.08	153.94	69
543	718.04	1768	175.96	166.6	87
544	1182.05	1772	188.67	163.09	89
545	2656.55	1929	168.02	157.08	101
546	821.3	2070	174.63	164.97	3
547	681.56	1660	173	137.64	141
548	1008.54	1725	170.07	137.61	91
549	729.38	1750	169.03	141.62	80
550	412.53	1956	172.5	144	71
551	1052.2	2001	174.34	168.13	86
552	713.99	1805	173.29	165.68	72
553	797.99	1822	175.67	156.37	76
554	1216.76	1875	166.61	143.67	91
555	717.09	1903	171.29	163.43	86
556	755.65	1909	172.49	149.76	94
557	893.22	1776	176.15	136.67	71
558	1032.49	1786	173.52	145.93	70
559	2150.86	1551	169.86	151.45	79
560	691.23	1751	178.77	161.39	86
561	1022.64	1930	173.52	165.62	91
562	787.52	1718	170.7	172.2	80
563	962.59	1846	170.58	153.72	87
564	715.84	1873	181.33	142.15	68
565	778.49	1913	171.97	158.33	67
566	1036.39	1892	173.84	158.26	44
567	1452.97	1884	175.22	171.41	74
568	1586.81	1856	179.44	163.42	86
569	904.08	2009	165.26	130.26	85
570	1233.38	1591	170.14	162.5	69
571	1124.13	1781	171.84	167.65	133
572	790.25	1950	174.49	157.04	133
573	910.75	2019	168.21	152.17	85
574	2748.9	1913	172.1	160.45	75
575	1422.23	1910	170.05	142.14	67
576	1797.44	1860	172.68	143.1	86
577	1517.59	1889	172.03	136.67	72
578	1683.92	1927	170.71	142.24	76
579	616.57	1863	179.43	172.17	86
580	1535.66	1963	173.18	173.08	90
581	1236.12	1721	183.96	134.48	89
582	596.67	1946	189.23	147.84	78
583	613.67	1888	175.14	149.17	151
584	1116.78	1929	180.64	167.27	132
585	514.92	1919	176.49	143.1	80
586	1607.52	1907	163.36	169.87	67
587	522	1910	172.14	158.2	74
588	702.63	1918	172.81	175.56	72
589	1976.54	1843	175.84	162.45	90
590	723.2	1831	170.51	153.47	87
591	2013.78	1869	171.02	161.03	75
592	734.52	1621	173.59	163.27	80
593	890.39	1667	175.67	161.04	65
594	777.53	1678	182.58	149.29	85
595	1074.85	1880	177.91	151.7	68
596	736.76	1730	165.87	156.77	88
597	817.56	1908	169.78	158.98	54
598	1245.87	1847	175.37	145.02	83
599	701.16	1966	180.06	156.97	75
600	1660.05	1885	185.6	172.1	89
601	564.5	1909	171.07	160.23	71
602	1178.72	1977	169.54	152.6	103
603	1172.13	1514	171.19	162.7	92
604	748.34	1937	171.48	146.02	79
605	646.85	1907	172.91	177.41	76
606	561.98	1864	171.97	162.75	86
607	1296.69	1817	183.93	165.22	79
608	2535.3	1980	175.22	139.14	95
609	1519.11	1812	167.86	163.52	71
610	1463.01	1924	166.52	151.37	88
611	1064.45	1824	171.74	177.17	76
612	542.56	1879	170.55	146.6	86
613	422.24	1972	171.36	149.27	76
614	603.67	1613	174.93	146.5	72
615	1474.27	1924	169.88	143.76	84
616	529.1	1832	168.53	158.51	86
617	859.53	1936	166.77	169.6	79
618	855.3	1888	170.22	138.61	76
619	854.31	2004	174.48	159.06	84
620	1743.77	1743	174.28	138.26	67
621	1241.36	1870	168.78	159.24	87
622	1729.56	1973	168.81	172.3	89
623	1309.37	1920	181.18	149.8	72
624	1105.73	1592	174.33	129.33	76
625	553.67	1609	169.37	153.26	75
626	571.04	1414	172.56	172.88	91
627	1109.37	1945	173.03	158.61	69
628	625.15	1972	172.49	131.19	87
629	536.06	1251	180.71	148.55	86
630	638.03	1486	166.19	140.93	75
631	799.09	1612	168.88	150.78	75
632	593.88	1647	175.29	161.63	72
633	1830.6	1497	172.52	153.57	70
634	603.59	1710	176	158.48	85
635	742.31	1637	174.52	160.08	86
636	2461.38	1637	169.17	159.15	72
637	509.96	1624	172.24	143.37	83
638	534.11	1594	168.88	166.87	76
639	429.02	1560	169.92	156.06	74
640	490.36	1539	184.53	150.14	87
641	937.5	1490	172.42	177.28	221.5
642	432.44	1577	168	131.31	79
643	531.08	1712	170.04	173.88	67
644	1245.16	2000	170.17	172.82	82
645	656.6	1353	170.84	156.95	68
646	738.83	1268	172.11	151.89	86
647	570.38	1517	171.72	146.04	75
648	703.75	1487	169.17	142.33	75
649	619.83	1433	169.56	146.76	69
650	477.89	1558	174.61	146.57	85
651	552.47	1547	173.98	146.87	69
652	902.73	1334	179.41	152.24	75
653	836.98	1665	179.76	169.84	83
654	727.02	1687	169.26	156.57	76
655	504.07	1652	188.61	156.96	67
656	1531.22	1409	167.91	163.03	104
657	1499.64	1662	180.08	156.38	68
658	1419.25	1668	174.92	121.91	86
659	513.17	1634	182.2	144.64	72
660	574.03	1651	169.74	141.47	74
661	699.74	1666	166	159.81	75
662	362.81	1695	173.48	166.85	87
663	570.28	1500	172.46	167.73	72
664	691.89	1523	172.22	160.39	73
665	534.09	1574	173.43	160.27	75
666	600.36	1495	177.64	167.28	86
667	1109.27	1532	178.55	139.31	67
668	701.8	1358	172.76	139.56	75
669	762.26	1730	174.73	157.59	74
670	743.48	1669	174.32	157.81	89
671	468.45	1588	170.87	145.2	73
672	419.97	1546	168.8	145.85	67
673	607.85	1447	167.19	154.9	89
674	491.68	1619	186.05	187.45	75
675	906.86	1662	181.8	157.47	89
676	1272.73	1601	170.18	144.22	67
677	478.31	1417	174.85	152.43	79
678	1523.95	1926	172.29	147.36	73
679	1730.27	1864	113	147.47	89
680	1297.77	1605	173	177.41	75
681	558.75	1635	170.69	141.08	73
682	1154.8	1760	177.74	149.05	89
683	1383.45	1391	173.56	160.71	79
684	557.2	1756	173.73	164.83	75
685	791.96	1737	179.7	156.78	72
686	520.95	1775	166.42	162.44	89
687	449.64	1706	173.8	153.28	72
688	517.73	1654	167.25	150.88	72
689	660.22	1719	167.94	167.03	88
690	491.02	1770	172.31	139.47	76
691	862.22	1578	171.34	159.91	89
692	597.6	1488	184	170.9	67
693	728.89	1264	171.61	175.56	90
694	627.13	1439	171.39	159.79	77
695	384.93	1179	169.32	156.44	87
696	713.42	1443	175.49	152.15	75
697	782.51	1678	171.55	166.95	68
698	638.49	1620	173.59	154.36	69
699	659.49	1627	170.54	155.64	72
700	515.67	1491	172.9	148.59	88
701	1050.67	1528	174.97	167.28	75
702	851.19	1502	185.68	137.72	89
703	753.19	1492	170.15	137.13	86
704	494.35	1499	173.55	146.83	75
705	1523.2	1463	175.56	145.34	86
706	1056.33	1303	162.6	156.19	71
707	337.47	1721	177.43	156.89	83
708	742.51	1645	172.67	159.76	74
709	552.68	1661	178.39	149.23	115
710	800.02	1536	182.65	144.16	89
711	930.05	1775	172.32	148.6	72
712	579.18	1608	172.11	162.66	67
713	1539.76	1620	177.19	134.01	76
714	568.69	1666	180.49	164.81	86
715	1666.29	1479	178.84	176.33	128
716	717.13	1777	170.11	155.89	91
717	600.13	1682	174.74	177.5	57
718	530.54	1916	177.27	175.59	73
719	1012.3	1624	182.56	132.48	86
720	497.59	1884	178.35	163.1	75
